timestamp,Heat 2nd floor (kWh)
2022-06-02 17:40:03.000000 +00:00,635228.0
2022-06-02 17:13:42.000000 +00:00,635227.0
2022-06-02 16:47:27.000000 +00:00,635226.0
2022-06-02 16:21:24.000000 +00:00,635225.0
2022-06-02 16:08:26.000000 +00:00,635224.0
2022-06-02 15:42:41.000000 +00:00,635223.0
2022-06-02 15:04:25.000000 +00:00,635222.0
2022-06-02 14:39:10.000000 +00:00,635221.0
2022-06-02 14:14:07.000000 +00:00,635220.0
2022-06-02 13:49:15.000000 +00:00,635219.0
2022-06-02 13:24:18.000000 +00:00,635218.0
2022-06-02 13:11:45.000000 +00:00,635217.0
2022-06-02 12:46:30.000000 +00:00,635216.0
2022-06-02 12:21:04.000000 +00:00,635215.0
2022-06-02 11:57:02.000000 +00:00,635214.0
2022-06-02 11:16:35.000000 +00:00,635213.0
2022-06-02 11:03:32.000000 +00:00,635212.0
2022-06-02 10:37:17.000000 +00:00,635211.0
2022-06-02 10:10:57.000000 +00:00,635210.0
2022-06-02 09:44:48.000000 +00:00,635209.0
2022-06-02 09:18:50.000000 +00:00,635208.0
2022-06-02 08:53:05.000000 +00:00,635207.0
2022-06-02 08:40:16.000000 +00:00,635206.0
2022-06-02 08:27:31.000000 +00:00,635205.0
2022-06-02 08:14:49.000000 +00:00,635204.0
2022-06-02 08:02:10.000000 +00:00,635202.0
2022-06-02 07:49:34.000000 +00:00,635199.0
2022-06-02 07:37:00.000000 +00:00,635197.0
2022-06-02 07:24:30.000000 +00:00,635194.0
2022-06-02 07:12:03.000000 +00:00,635192.0
2022-06-02 06:59:38.000000 +00:00,635189.0
2022-06-02 06:47:12.000000 +00:00,635187.0
2022-06-02 06:34:42.000000 +00:00,635184.0
2022-06-02 06:22:09.000000 +00:00,635181.0
2022-06-02 06:09:33.000000 +00:00,635178.0
2022-06-02 05:56:54.000000 +00:00,635175.0
2022-06-02 05:44:12.000000 +00:00,635172.0
2022-06-02 05:31:27.000000 +00:00,635168.0
2022-06-02 05:18:40.000000 +00:00,635165.0
2022-06-02 05:05:49.000000 +00:00,635162.0
2022-06-02 04:52:55.000000 +00:00,635158.0
2022-06-02 04:39:58.000000 +00:00,635154.0
2022-06-02 04:26:58.000000 +00:00,635153.0
2022-06-02 04:13:56.000000 +00:00,635152.0
2022-06-02 04:02:28.000000 +00:00,635151.0
2022-06-02 03:47:41.000000 +00:00,635150.0
2022-06-02 03:21:20.000000 +00:00,635148.0
2022-06-02 03:08:14.000000 +00:00,635147.0
2022-06-02 02:42:11.000000 +00:00,635146.0
2022-06-02 02:29:14.000000 +00:00,635145.0
2022-06-02 02:03:28.000000 +00:00,635144.0
2022-06-02 01:50:40.000000 +00:00,635143.0
2022-06-02 01:37:55.000000 +00:00,635141.0
2022-06-02 01:25:13.000000 +00:00,635140.0
2022-06-02 00:59:57.000000 +00:00,635139.0
2022-06-02 00:34:54.000000 +00:00,635138.0
2022-06-02 00:22:27.000000 +00:00,635137.0
2022-06-01 23:57:35.000000 +00:00,635136.0
2022-06-01 23:32:32.000000 +00:00,635135.0
2022-06-01 23:19:56.000000 +00:00,635134.0
2022-06-01 23:07:18.000000 +00:00,635133.0
2022-06-01 22:41:51.000000 +00:00,635132.0
2022-06-01 22:29:03.000000 +00:00,635131.0
2022-06-01 22:03:19.000000 +00:00,635130.0
2022-06-01 21:50:22.000000 +00:00,635129.0
2022-06-01 21:37:22.000000 +00:00,635128.0
2022-06-01 21:11:13.000000 +00:00,635127.0
2022-06-01 20:44:53.000000 +00:00,635126.0
2022-06-01 20:31:44.000000 +00:00,635125.0
2022-06-01 20:05:35.000000 +00:00,635124.0
2022-06-01 19:39:37.000000 +00:00,635123.0
2022-06-01 19:13:52.000000 +00:00,635122.0
2022-06-01 17:57:48.000000 +00:00,635121.0
2022-06-01 17:07:59.000000 +00:00,635120.0
2022-06-01 16:30:20.000000 +00:00,635119.0
2022-06-01 15:39:27.000000 +00:00,635118.0
2022-06-01 14:47:46.000000 +00:00,635117.0
2022-06-01 13:55:17.000000 +00:00,635116.0
2022-06-01 13:02:58.000000 +00:00,635115.0
2022-06-01 12:24:15.000000 +00:00,635114.0
2022-06-01 11:33:21.000000 +00:00,635113.0
2022-06-01 09:02:38.000000 +00:00,635110.0
2022-06-01 08:24:06.000000 +00:00,635109.0
2022-06-01 07:59:47.000000 +00:00,635108.0
2022-06-01 07:32:01.000000 +00:00,635107.0
2022-06-01 07:05:40.000000 +00:00,635106.0
2022-06-01 06:52:31.000000 +00:00,635104.0
2022-06-01 06:39:25.000000 +00:00,635102.0
2022-06-01 06:26:22.000000 +00:00,635099.0
2022-06-01 06:13:22.000000 +00:00,635097.0
2022-06-01 06:00:25.000000 +00:00,635096.0
2022-06-01 05:47:30.000000 +00:00,635095.0
2022-06-01 05:34:39.000000 +00:00,635093.0
2022-06-01 05:21:51.000000 +00:00,635091.0
2022-06-01 05:09:06.000000 +00:00,635088.0
2022-06-01 04:56:24.000000 +00:00,635084.0
2022-06-01 04:43:44.000000 +00:00,635081.0
2022-06-01 04:31:08.000000 +00:00,635078.0
2022-06-01 04:18:35.000000 +00:00,635074.0
2022-06-01 04:06:05.000000 +00:00,635072.0
2022-06-01 03:53:38.000000 +00:00,635071.0
2022-06-01 03:41:13.000000 +00:00,635070.0
2022-06-01 03:28:46.000000 +00:00,635069.0
2022-06-01 03:16:16.000000 +00:00,635067.0
2022-06-01 03:03:43.000000 +00:00,635066.0
2022-06-01 02:51:08.000000 +00:00,635065.0
2022-06-01 02:38:29.000000 +00:00,635064.0
2022-06-01 02:13:02.000000 +00:00,635063.0
2022-06-01 02:00:14.000000 +00:00,635061.0
2022-06-01 01:47:23.000000 +00:00,635058.0
2022-06-01 01:34:30.000000 +00:00,635055.0
2022-06-01 01:21:33.000000 +00:00,635052.0
2022-06-01 01:08:33.000000 +00:00,635051.0
2022-06-01 00:42:24.000000 +00:00,635050.0
2022-06-01 00:29:15.000000 +00:00,635049.0
2022-06-01 00:02:55.000000 +00:00,635048.0
2022-05-31 23:49:49.000000 +00:00,635047.0
2022-05-31 23:36:46.000000 +00:00,635046.0
2022-05-31 23:23:45.000000 +00:00,635045.0
2022-05-31 23:12:25.000000 +00:00,635043.0
2022-05-31 22:57:54.000000 +00:00,635042.0
2022-05-31 22:45:03.000000 +00:00,635041.0
2022-05-31 22:19:29.000000 +00:00,635040.0
2022-05-31 21:54:08.000000 +00:00,635039.0
2022-05-31 21:28:58.000000 +00:00,635038.0
2022-05-31 21:16:28.000000 +00:00,635037.0
2022-05-31 20:51:36.000000 +00:00,635036.0
2022-05-31 20:39:10.000000 +00:00,635035.0
2022-05-31 20:14:07.000000 +00:00,635034.0
2022-05-31 20:01:31.000000 +00:00,635033.0
2022-05-31 19:48:52.000000 +00:00,635032.0
2022-05-31 19:36:10.000000 +00:00,635031.0
2022-05-31 19:10:38.000000 +00:00,635030.0
2022-05-31 18:57:47.000000 +00:00,635027.0
2022-05-31 18:44:53.000000 +00:00,635025.0
2022-05-31 18:31:56.000000 +00:00,635023.0
2022-05-31 18:18:57.000000 +00:00,635020.0
2022-05-31 18:05:54.000000 +00:00,635018.0
2022-05-31 17:52:48.000000 +00:00,635016.0
2022-05-31 17:13:18.000000 +00:00,635013.0
2022-05-31 16:47:09.000000 +00:00,635012.0
2022-05-31 16:21:12.000000 +00:00,635011.0
2022-05-31 14:14:25.000000 +00:00,635007.0
2022-05-31 13:49:33.000000 +00:00,635006.0
2022-05-31 13:37:03.000000 +00:00,635005.0
2022-05-31 13:24:30.000000 +00:00,635004.0
2022-05-31 13:11:55.000000 +00:00,635002.0
2022-05-31 12:59:16.000000 +00:00,635000.0
2022-05-31 12:46:34.000000 +00:00,634997.0
2022-05-31 12:21:01.000000 +00:00,634996.0
2022-05-31 11:55:17.000000 +00:00,634995.0
2022-05-31 11:29:20.000000 +00:00,634994.0
2022-05-31 11:03:12.000000 +00:00,634993.0
2022-05-31 10:36:51.000000 +00:00,634992.0
2022-05-31 10:10:36.000000 +00:00,634991.0
2022-05-31 09:57:33.000000 +00:00,634990.0
2022-05-31 09:44:33.000000 +00:00,634989.0
2022-05-31 09:31:35.000000 +00:00,634987.0
2022-05-31 09:18:41.000000 +00:00,634985.0
2022-05-31 08:40:16.000000 +00:00,634983.0
2022-05-31 07:49:46.000000 +00:00,634982.0
2022-05-31 07:12:24.000000 +00:00,634981.0
2022-05-31 06:34:54.000000 +00:00,634980.0
2022-05-31 06:22:18.000000 +00:00,634978.0
2022-05-31 06:09:40.000000 +00:00,634976.0
2022-05-31 05:56:58.000000 +00:00,634974.0
2022-05-31 05:44:13.000000 +00:00,634972.0
2022-05-31 05:31:25.000000 +00:00,634970.0
2022-05-31 05:18:34.000000 +00:00,634967.0
2022-05-31 05:05:40.000000 +00:00,634964.0
2022-05-31 04:52:44.000000 +00:00,634961.0
2022-05-31 04:39:44.000000 +00:00,634959.0
2022-05-31 04:26:41.000000 +00:00,634958.0
2022-05-31 04:00:26.000000 +00:00,634957.0
